C2,100nF,_0603,28.194,12.954,0.0,TOP,SMD
R2,10k,_0603,5.080,35.560,270.0,TOP,SMD
R4,10k,_0603,44.958,35.560,90.0,TOP,SMD
R5,10k,_0603,20.066,10.668,90.0,TOP,SMD
C1,10nF,_0603,20.828,4.826,0.0,TOP,SMD
R1,1k,_0603,3.556,18.796,90.0,TOP,SMD
R3,1k,_0603,47.244,18.796,90.0,TOP,SMD
R6,220R,_0603,20.828,8.382,0.0,TOP,SMD
Q1,IRF530NSTRLPBF,IRF2804STRLPBF,12.954,22.606,270.0,TOP,SMD
Q4,IRF530NSTRLPBF,IRF2804STRLPBF,37.338,22.606,90.0,TOP,SMD
Q2,IRF9530NSPBF,IDB30E60,16.510,35.560,180.0,TOP,SMD
Q5,IRF9530NSPBF,IDB30E60,33.782,35.560,0.0,TOP,SMD
Q3,MMBT2222A_R1_00001,SOT23-R,4.318,22.606,0.0,TOP,SMD
Q6,MMBT2222A_R1_00001,SOT23-R,45.974,22.606,180.0,TOP,SMD
IC1,PIC16F15224-E_ST,SOP65P640X120-14N,28.448,8.890,0.0,TOP,SMD
MOTOR,691210910002,691210910002,20.828,47.142,0.0,TOP,THT
J1,691210910003,691210910003,37.084,46.990,180.0,TOP,THT
JP3,M20-9990546,1X05_ROUND,31.496,2.032,0.0,TOP,THT
JP4,PPTC021LGBN-RC,1X02/90,11.938,7.112,180.0,TOP,THT
JP2,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,20.066,6.604,90.0,BOT,SMD
